Artigo,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
1,X,X,,,,,X,X,,,,,,,,,,Incluído
2,,,,,,,,,,,,,,,,X,,Excluído
3,X,X,,,,X,X,X,,,,,,,,,X,Excluído
4,,,,,,,,,,X,,X,,,,,,Excluído
5,,,,,,,,,,,,,,,,X,,Excluído
6,,,,,,,,,,X,,X,,,,,,Excluído
7,X,X,,X,,,X,X,,,,,,,,,X,Excluído
8,,,,,,,X,X,,,,,,,,,X,Excluído
9,,,,,,,,,,,,,,,,X,,Excluído
10,,X,X,X,,,X,X,,,,,,,,,,Incluído
11,X,X,,X,X,,X,X,,,,,,,,,X,Excluído
12,,,,,,,,,,X,,X,,,,,,Excluído
13,,,,,,,,,,X,,X,,,,,,Excluído
14,X,,,X,X,,X,X,,,,,,,,,,Incluído
15,,,,,,,,,,,,,,,,X,,Excluído
16,,,,,,,,,,X,,X,,,,,,Excluído
17,,,,,,,,,,,,,,,,,X,Excluído
18,X,X,,,,X,X,X,,,,,,,,,,Incluído
19,,,X,X,,,X,X,,,,,,,,,,Incluído
20,X,X,,X,,,X,X,,,,,,,,,,Incluído
21,X,,,,,,X,X,,,,,,,,,,Incluído
22,,,,,,,,,,,,,,,,,X,Excluído
23,X,X,,,,,X,X,,,,,,,,,,Incluído
24,X,X,,,,,X,X,,,,,,,,,,Incluído
25,,,,,,,,,,,,,,,,,X,Excluído
26,,,,,,,,,,,,,,,,X,,Excluído
27,,,,,,,,,,,,,,,,,X,Excluído
28,,,,,,,,,,,,,,,,X,,Excluído
29,,,,,,,,,,,,,,,,,X,Excluído
30,,,,,,,,,,,,,,,,,X,Excluído
31,,,,,,,,,,X,,X,,,,,,Excluído
32,X,,,X,X,,X,X,,,,,,,,,,Incluído
33,,,,,,,,,,,,,,,,X,,Excluído
34,,,,,,,,,,,,,,,,,X,Excluído
35,,,,,,,,,,X,,X,,,,,,Excluído
36,,,,,,,,,,X,,X,,,,,,Excluído
37,,,,,,,,,,,,,,,,X,,Excluído
38,,,,,,,,,,X,,X,,,,,,Excluído
39,,,,,,,,,,,,,,,,,X,Excluído
40,,,,X,X,,X,X,,,,,,,,,,Incluído
41,,,,,,,,,,,,,,,,,X,Excluído
42,,,,,,,,,,,,,,,,,X,Excluído
43,X,X,,X,,,X,X,,,,,,,,,,Incluído
44,,,,,,,,,,,,,,,,X,,Excluído
45,X,X,,X,X,,X,X,,,,,,,,,,Incluído
46,,,,,,,,,,X,,X,,,,,,Excluído
47,,,,,,,,,,X,,X,,,,,,Excluído
48,,X,,X,,,X,X,,,,,,,,,,Incluído
49,,,,,,,,,,,,,,,,X,,Excluído
50,,,,,,,,,,,,,,,,X,,Excluído
51,,,,,,,,,,X,,X,,,,,,Excluído
52,,,,,,,,,,,,,,,,X,,Excluído
,,,,,,,,,,,,,,,,,,
INCLUÍDOS,14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EXCLUÍDOS,38,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CRITÉRIO I,,,,,,,,,,,,,,,,,,
CRITÉRIO J,12,,,,,,,,,,,,,,,,,
CRITÉRIO K,,,,,,,,,,,,,,,,,,
CRITÉRIO L,12,,,,,,,,,,,,,,,,,
CRITÉRIO M,,,,,,,,,,,,,,,,,,
CRITÉRIO N,,,,,,,,,,,,,,,,,,
CRITÉRIO O,,,,,,,,,,,,,,,,,,
CRITÉRIO P,12,,,,,,,,,,,,,,,,,
CRITÉRIO Q,14,,,,,,,,,,,,,,,,,
