Artigo,a (-1),b (0),c (1),d (2),e (3),Total
1,,,,,X,3
2,,,,,X,3
5,,,,X,,2
7,,,,,X,3
9,,,,X,,2
11,,,,,X,3
13,,,,,X,3
16,,,,X,,2
17,,,,X,,2
19,,,,,X,3
21,,,,,X,3
22,,,,,X,3
25,,,,X,,2
26,,,,,X,3
27,,,,,X,3
28,,,,,X,3
32,,,,,X,3
34,,,,,X,3
35,,,,,X,3
37,,,,,X,3
39,,,,,X,3
43,,,X,,,1
47,,,X,,,1
48,,,X,,,1
50,,,X,,,1
52,,,X,,,1
53,,,X,,,1
54,,,X,,,1
55,,,X,,,1
56,,,X,,,1
58,,,X,,,1
60,,,,,X,3
61,,,X,,,1
62,,,X,,,1
63,,,X,,,1
65,,,,,X,3
67,,,,,X,3
70,,,,,X,3
72,,,,X,,2
73,,,,X,,2
,,,,,,
Critério 01,13,,,,,
Critério 02,7,,,,,
Critério 03,20,,,,,
