,a (-1),b (0),c (1),d (2),e (3),Total
74,,,,X,,2
76,,,,X,,2
78,,,,X,,2
81,,,,,X,3
82,,,,,X,3
83,,,,,X,3
84,,,,,X,3
86,,,,X,,2
87,,,,X,,2
88,,,X,,,1
89,,,,,X,3
90,,,,,X,3
91,,,,,X,3
92,,,,,X,3
93,,,,,X,3
94,,,,X,,2
97,,,X,,,1
98,,,,X,,2
99,,,X,,,1
103,,,X,,,1
104,,,X,,,1
105,,,X,,,1
108,,,X,,,1
109,,,X,,,1
111,,,X,,,1
112,,,,X,,2
113,,,X,,,1
117,,,,X,,2
121,,,,,X,3
122,,,,,X,3
127,,,,,X,3
143,,,,,X,3
146,,,,,X,3
160,,,X,,,1
162,,,,X,,2
171,,,,X,,2
173,,,,X,,2
174,,,,X,,2
175,,,,,X,3
176,,,,X,,2
177,,,,X,,2
,,,,,,
,,,,,,
Critério 01,,11,,,,
Critério 02,,15,,,,
Critério 03,,15,,,,
