Artigo,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
41,X,X,,,,,X,X,,X,,X,,,,,,Excluído
42,X,X,,,,,X,X,,X,,X,,,,,,Excluído
43,X,X,,,,,X,X,,,,,,,,,,Incluído
44,X,X,X,,,X,X,X,,,,,,X,,,,Excluído
45,X,X,X,X,X,,X,X,,,,,,,,X,,Excluído
46,X,X,X,,,X,X,X,,,,,,X,,,,Excluído
47,X,X,X,X,,X,X,X,,,,,,,,,,Incluído
48,X,X,,,,,X,X,,,,X,,,,X,,Excluído
49,X,X,X,X,X,,X,X,,,,,,,X,,,Excluído
50,X,X,X,,,,X,X,,,,,,,,,X,Excluído
51,X,,,,,X,X,X,X,X,,X,,,,,,Excluído
52,X,X,X,X,,X,X,X,,,,,,,,,,Incluído
53,X,X,,,,X,X,X,,,,,,,,,,Incluído
54,X,X,,,,X,X,X,,,,,,,,,,Incluído
55,X,X,,,,X,X,X,,,,,,,,,,Incluído
56,X,X,,,,,X,X,,,,,,,,,,Incluído
57,X,,,,,,X,X,X,X,X,,,,,,,Excluído
58,X,,,,,X,X,X,,X,,,,,,,,Incluído
59,,,,,,,X,X,,,,,,,,X,,Excluído
60,X,X,X,,,X,X,X,,,,,,,,,,Incluído
61,X,X,X,X,X,,X,X,,,,,,X,X,,,Excluído
62,X,X,X,,,X,X,X,,,,,,,,,,Incluído
63,X,X,X,,,,X,X,,,,,,,,,,Incluído
64,X,,,,,,X,X,X,X,,X,,,,,,Excluído
65,X,X,,X,,,X,X,,,,,,,,,,Incluído
66,X,X,,X,X,,X,X,,,,,,X,X,X,,Excluído
67,X,X,,,,,X,X,,,,,,,,,,Incluído
68,X,,X,,,,X,X,,X,,X,,,,X,,Excluído
69,X,X,,,,,X,X,,X,,,,,,,,Excluído
70,X,X,,,,X,X,X,,,,,,,,,,Incluído
71,X,X,,,,X,X,X,X,X,,X,,,,,,Excluído
72,X,X,,,,X,X,X,,,,,,,,,,Incluído
73,X,X,,,,X,X,X,,,,,,,,,,Incluído
74,X,X,X,,,,X,X,,,,,,,,,,Incluído
75,,,,,,,X,X,,,,,,X,X,,,Excluído
76,X,X,,,,X,X,X,,,,,,,,,,Incluído
77,X,,,,,,X,X,,,,,,X,X,,,Excluído
78,X,X,X,,,X,X,X,,,,,,,,,,Incluído
79,X,,,,,X,X,X,,,,,,,,X,,Excluído
80,X,,,,,,X,X,,,,,,X,X,,,Excluído
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INCLUSÃO,,21,,,,,,,,,,,,,,,,
EXCLUSÃO,,19,,,,,,,,,,,,,,,,
DIPLICATA,,,,,,,,,,,,,,,,,,
CRITÉRIO J,,9,,,,,,,,,,,,,,,,
CRITÉRIO L,,7,,,,,,,,,,,,,,,,
CRITÉRIO N,,7,,,,,,,,,,,,,,,,
CRITÉRIO O,,6,,,,,,,,,,,,,,,,
CRITÉRIO P,,6,,,,,,,,,,,,,,,,
CRITÉRIO Q,,1,,,,,,,,,,,,,,,,
