Tabela síntese - Scopus,,,,,,,,,,,
(a) n. do estudo,Artigo,QP1 - Como a literatura sobre Interação Humano-Dados (IHD) evoluiu em conceito e prática na última década (2014-2024)?,QP2 - Quais são as principais diferenças entre as abordagens teóricas e as implementações práticas relatadas na literatura nos últimos dez anos (2014-2024)?,QP3 - Quais lacunas na pesquisa atual são recorrentemente citadas nos estudos?,"QP4 - Antes da abordagem de IHD, havia alguma abordagem para facilitar o entendimento sobre a gestão de dados em aplicações?",QP5 - Qual é a importância de aplicação da IHD no contexto de Smart City?,,"QPS1 - Quais métodos de avaliação (ex: testes de usabilidade, eye-tracking) são usados para medir a eficácia da IHD?",QPS2 - Quais elementos de sistemas IHD ajudam usuários inexperientes digitalmente a entender melhor os dados?,QPS3 - Os estudos de caso testaram algum framework utilizando IHD?,QPS4 - De que forma fatores etnicos-culturais podem influenciar na forma de aplicação da IHD?
74,"Elhamdadi et al., 2020","Evolui da medição estrita de usabilidade técnica (precisão, tempo) para a avaliação de estados cognitivos e emocionais complexos. Conceitualmente, incorpora a ""confiança calibrada"" como meta de design para a interação.","Teoricamente, visualizações devem ser inerentemente confiáveis. Na prática, inexiste consenso metodológico sobre como definir ou medir essa confiança, o que impede a criação de modelos robustos de IHD.","Falta de métricas empíricas validadas especificamente para o domínio da visualização de dados, o que força pesquisadores a usar métricas improvisadas (ad hoc) que podem não ser estatisticamente confiáveis.","O campo focava estritamente em métricas de desempenho objetivo ou questionários de preferência estética de interface, ignorando por completo a dimensão interpessoal e sistêmica da confiança algorítmica.","A confiança sistêmica é a base inegociável para que o cidadão aceite, interprete e utilize dados públicos (como índices de criminalidade ou níveis de poluição) visando embasar as suas decisões de vida diária na cidade.",,"Propõe o uso de escalas psicométricas (Likert), jogos de investimento empíricos (da economia comportamental) e tarefas de escolha forçada para testar e quantificar a métrica de ""confiança"".","Destaca que o cidadão chega à confiança através de heurísticas e experiências pessoais. O design deve guiar esse processo com interfaces que combatam tanto a ""confiança cega"" quanto a ""desconfiança infundada"", tornando a lógica dos dados transparente.","Vincula a IHD a teorias de Confiança Interpessoal e Confiança em Automação, estruturando a avaliação através de escalas psicométricas (Likert) e jogos de investimento comportamental.","Destaca que a confiança é intrinsecamente modulada por cultura, preferências individuais e pelo contexto social específico em que o dado é apresentado, invalidando modelos de design universais e rígidos."
76,"Bartram et al., 2021","Transita da busca pela pureza técnica do dado (estruturado para máquinas) para a valorização do ""dado humano"", flexível e contextual. Na prática, valida ferramentas tradicionais que já promovem a Autonomia do Usuário.","Enquanto a teoria prega que os dados devem ser rigidamente limpos e estruturados (""tidy"") para análise computacional, a prática demonstra que tabelas não estruturadas (""untidy"") são muito mais eficazes para o raciocínio humano e a colaboração, pois preservam o contexto real.","Lacuna no design de ferramentas modernas de visualização, as quais impõem estruturas de interação rígidas que desencorajam a exploração livre e a manipulação direta que planilhas rudimentares ainda permitem.","Priorizavam a automação cega e a conformidade técnica em bancos de dados. O trabalho humano criativo de interpretação era invisibilizado em favor de uma suposta ""pureza"" e estruturação estrita desenhada apenas para as máquinas.","O uso de tabelas rudimentares (""untidy"") por cidadãos atua como ferramenta cívica para monitorar gastos domésticos e consumo de energia, configurando-se como a verdadeira porta de entrada orgânica para o Letramento em Dados na cidade.",,"Utiliza uma síntese teórica e análise funcional de artefatos de dados, baseando-se em princípios fundamentais da análise visual e da ciência cognitiva.","Propõe a manutenção de tabelas simples e estruturadas, aproveitando habilidades humanas básicas de organização espacial e categorização, dispensando a necessidade de linguagens de programação complexas para o uso cotidiano.","Conecta a IHD com o conceito de ""Tidy Data"" (Wickham) e teorias de Desenvolvimento Cognitivo (Piaget) para fundamentar a análise funcional de artefatos de dados.","Argumenta que a flexibilidade das tabelas permite que diferentes culturas e grupos sociais adaptem a tecnologia às suas necessidades específicas de registro e comunicação, revelando que a forma de organizar dados reflete práticas culturais locais."
78,"Xia et al., 2022","Expande o conceito ao incorporar a materialidade e as propriedades sensoriais. Na prática, transita da visualização plana em telas (2D) para a Fisicalização de Dados (3D), facilitando a compreensão de abstrações estatísticas.","Teoricamente, as visualizações gráficas tradicionais seriam suficientes para comunicar informações. Na prática, a aplicação da Fisicalização de Dados para estatísticas intangíveis (como taxas de extinção) cria uma conexão emocional e cognitiva que telas bidimensionais falham em estabelecer.","Incerteza metodológica sobre como as pessoas realmente interagem fisicamente com volumes massivos de dados, e carência de métodos materiais que engajem o público de forma não técnica ou abstrata.","O foco limitava-se a interfaces digitais bidimensionais e representações estatísticas abstratas em telas gráficas, operando de forma muito distante da materialidade e da experiência sensorial tátil do usuário final.","Aplica a IHD em dados abertos (ex: biodiversidade escocesa) para conectar diretamente os cidadãos a questões ecológicas globais, provando que a materialização da informação aumenta criticamente a consciência social e ambiental metropolitana.",,"Utilizou a criação de protótipos interativos táteis avaliados através da observação ativa e da análise de respostas de 60 membros do público, focando em significado, valor e conexão emocional.","Adota a Fisicalização de Dados (tornar o dado um objeto tocável) como ponte para usuários leigos, permitindo que a intuição sensorial e a manipulação manual substituam a exigência de letramento técnico em interfaces digitais.","Integra a IHD com teorias de design de materiais e tecnologias tangíveis, validando o protótipo através de observação empírica focada em significado, valor e conexão emocional.","Utiliza dados locais de espécies da Escócia para gerar relevância cultural e geográfica direta para os participantes, comprovando que o engajamento com a Fisicalização de Dados depende da proximidade da informação com o cotidiano do usuário."
81,"Briggs & Cafaro, 2021","Evolui da IHC tradicional, focada estritamente na usabilidade de interfaces, para a investigação de como humanos exploram macroconjuntos informacionais. Na prática, aplica a IHD para mitigar a datificação preditiva em políticas institucionais.","Enquanto a teoria educacional propõe o uso de mineração avançada para predições precisas, a prática revela infraestruturas fragmentadas. Essa falha obriga os profissionais a criarem ""bancos de dados sombra"" caseiros em planilhas, operando à margem da governança institucional.","Ausência de padrões consistentes para o acesso a dados no ensino superior, falta de treinamento formal para usuários finais que atuam como analistas institucionais, e negligência acadêmica sobre o ""trabalho invisível"" do processamento de dados.","A Interação Humano-Computador (IHC) tradicional focava estritamente na produtividade industrial e na usabilidade de sistemas locais, dependendo de especialistas técnicos de domínio para realizar análises manuais fechadas.","Vital para garantir transparência nas instituições da cidade inteligente. A IHD mitiga o ""mito da clareza numérica isolada"", exigindo que as métricas reflitam as histórias humanas reais para evitar a erosão moral das organizações urbanas lideradas por algoritmos.",,"O estudo emprega uma abordagem qualitativa exploratória composta por um questionário online com 18 usuários e 10 entrevistas semiestruturadas. Além disso, cita o uso formal de eye-tracking em pesquisas correlatas de IHD para rastrear a leitura em interfaces de dados.","Recomenda módulos de treinamento integrados, padronização rigorosa de termos-chave (reduzindo a confusão), pontos de verificação (roadblocks) para validar consultas de novatos e visualização explícita do esforço e fluxo de trabalho.","Utiliza o framework de Análise Temática para identificar os eixos de Acesso, Compreensibilidade e Uso, propondo a partir deles um modelo funcional para ""gateways de dados"" institucionais no ensino superior.","Adverte explicitamente que seus resultados são restritos ao contexto de universidades nos EUA, ressaltando que instituições em diferentes regiões, países ou culturas podem apresentar práticas de trabalho e desfechos de IHD drasticamente distintos."
82,"Turkay et al., 2021","Transita de modelos computacionais opacos para uma colaboração estreita entre inteligência humana e máquinas. Na prática, utiliza a IHD para refinar algoritmos por meio da integração contínua de input manual e Autonomia do Usuário.","Teoricamente, os modelos de aprendizado de máquina são vistos como ferramentas eficazes e autônomas, mas opacas. Na prática, a IHD atua como uma ponte tradutória (análise visual interativa) para tornar esses resultados auditáveis, explicáveis e passíveis de Autonomia do Usuário pela sociedade civil e governos.",Necessidade crítica de desenvolver mecanismos que tornem os sistemas de decisão baseados em Inteligência Artificial totalmente interpretáveis e passíveis de auditoria para partes interessadas com diferentes níveis de instrução.,"A gestão de modelos de Inteligência Artificial operava sob a lógica de ""caixas-pretas"", onde a arquitetura hermética de código impedia qualquer escrutínio humano ou auditoria visual interativa por parte da sociedade.","Imprescindível para auditar as áreas urbanas de interesse estatal, provendo suporte interpretativo para que decisões governamentais em larga escala não sejam impostas à comunidade sob um verniz de falsa isenção algorítmica.",,Cita levantamentos metodológicos multidisciplinares que mapeiam objetivos de design diretamente a testes de usabilidade apropriados para equipes interdisciplinares.,Sugere a aplicação de gamificação e interações guiadas por máquinas para reduzir o custo cognitivo e a fricção do usuário durante processos complexos de rotulagem e exploração visual.,"Apresenta uma taxonomia de medidas de propriedade para unificar abordagens de aprendizado ativo e design centrado no humano, visando a interoperabilidade entre equipes interdisciplinares.","Discute a aplicação de agentes conversacionais em ambientes sociais sensíveis, como investigações criminais e o entendimento de dinâmicas urbanas específicas de cada comunidade."
83,"Alhakamy et al., 2021","Expande a IHD para além da percepção estritamente visual, integrando o corpo inteiro na interação. Na prática, investiga como a cognição corporificada altera a compreensão de causalidade e impulsiona o Letramento em Dados.","Teoricamente, a cognição corporificada (embodied cognition) defende que qualquer movimento físico facilita o Letramento em Dados. Contudo, a prática revela que movimentos mediados por controles artificiais (como um controle de videogame) reduzem a compreensão de causalidade quando comparados à interação natural de corpo inteiro.",Dificuldade estrutural em projetar instalações interativas (como em museus) que permitam aos visitantes focar rapidamente nos fluxos de dados e extrair e discutir insights profundos em intervalos de tempo muito curtos.,"As interfaces baseavam-se pesadamente no paradigma clássico WIMP (Windows, Icons, Menus, Pointer), um padrão rígido de mouse e teclado que falhava em aproveitar as capacidades da cognição corporificada humana para o raciocínio analítico.","Essencial para o Letramento em Dados informal metropolitano, democratizando o acesso à informação através da exploração corporal e espacial de bases de dados exibidas em totens públicos (museus e praças conectadas).",,"Utiliza uma rigorosa abordagem mista com ANOVA de três vias para tratamento de dados quantitativos, cruzada com análise de discurso baseada na Teoria da Metáfora Conceitual para consolidar dados qualitativos.","Utiliza a interação gestual (Full-Body) para ativar esquemas mentais de ""força"" e ""movimento"", facilitando a identificação de padrões, embora alerte para a necessidade de evitar percepções errôneas de causalidade física.",Testa o efeito de dois estilos distintos de interação (incluindo o uso de tecnologias de corpo inteiro) na construção de sentido (sensemaking) do usuário através de análise comparativa.,"Analisa a diversidade do público visitante de museus, focando em como a linguagem e o uso de metáforas espaciais (como ""acima"" e ""abaixo"") podem ser interpretadas de formas distintas conforme o repertório cultural de cada grupo."
84,"Sailaja et al., 2021","Transita de mídias de transmissão linear para conteúdos adaptativos orientados a dados. Na prática, adota arquiteturas de computação de borda (edge computing) e cofres pessoais para devolver a Autonomia do Usuário sobre perfis cruzados.","A teoria pressupõe que cofres de dados pessoais garantem automaticamente o empoderamento. Na prática, embora os usuários prefiram essa segurança arquitetônica, eles continuam exigindo clareza semântica sobre o ""vínculo de dados"" e a utilidade real da partilha para exercerem sua Autonomia do Usuário.","Carência de intervenções de IHD efetivamente contextualizadas no cenário prático, persistindo um abismo na pesquisa sobre respostas holísticas e interdisciplinares aos desafios de privacidade no ecossistema de mídias.","A gestão de dados de usuários operava em silos disciplinares estanques e focava em respostas técnicas puramente reativas e isoladas, sem oferecer uma arquitetura holística ou interdisciplinar de privacidade para as mídias.","Alerta contra a toxicidade das ""bolhas de filtro"" urbanas, prescrevendo a Autonomia do Usuário perante a gestão de algoritmos de mídia para evitar o esgarçamento do convívio sociopolítico na cidade.",,"Emprega métodos qualitativos focados no usuário, como grupos focais online via Zoom (23 participantes), walkthroughs cognitivos com especialistas da indústria e análise temática profunda de dados.","Prioriza a linguagem simples (evitando termos técnicos), o uso de iconografia clara, a entrega hierárquica de informações (progressive disclosure) e resumos pragmáticos nas páginas de consentimento.",Utiliza a agenda de IHD (proposta por Mortier et al.) para orientar o design e a crítica funcional de sistemas de recomendação de mídia personalizada.,"O estudo foi realizado no Reino Unido com uma coorte multicultural, demonstrando que a pluralidade de origens étnicas e socioeconômicas é um fator determinante na forma como os indivíduos engajam com fluxos de dados pessoais."
86,"Sailaja et al., 2021","Consolida a IHD como um campo interdisciplinar autônomo emergido da IHC. Teoricamente, estabelece a tríade de legibilidade, negociabilidade e Autonomia do Usuário como resposta central aos desafios sociotécnicos de datificação contemporâneos.","Enquanto os fundamentos conceituais da IHD avançaram substancialmente na literatura, a prática expõe uma grave carência de tecnologias reais que implementem a teoria. O estudo evidencia que a transição das diretrizes éticas para respostas práticas e operacionais permanece incompleta e urgente.","Ausência de um paradigma produtivo e consolidado para a IHD, refletindo a dificuldade crônica de traduzir os seus princípios abstratos para sistemas concretos capazes de conter algoritmos de IA complexos e opacos.","A área restringia-se ao design de interface clássico (IHC) e à Experiência do Usuário (UX) básica, abordagens que se provaram cronicamente insuficientes para gerenciar a escala informacional e a opacidade da datificação massiva contemporânea.",NÃO RESPONDE,,"Não apresenta métodos de avaliação empírica próprios (revisão/estado da arte). Menciona, como exemplos práticos, tecnologias com inclusão de princípios IHD desenvolvidas pelos autores em fases anteriores, mas sem detalhar as métricas de eficácia.",NÃO RESPONDE,"Não apresenta framework próprio testado. Propõe uma estrutura de oficina colaborativa de ""criação e desconstrução"" para que participantes apliquem os princípios de IHD a tecnologias existentes, funcionando como uma fase preliminar de validação.",NÃO RESPONDE
87,"Sailaja et al., 2021","Refina os pilares fundacionais da área, distinguindo a verdadeira legibilidade de uma mera transparência passiva. O conceito evolui para exigir a compreensão ativa do titular, aprofundando o Letramento em Dados além da simples exposição de termos jurídicos.","A teoria fornece princípios axiológicos abstratos; a prática exige decisões de design estritas. O estudo materializa os pilares da IHD através do sistema construído: usa linguagem simplificada para legibilidade e cofres de dados pessoais para viabilizar a Autonomia do Usuário, evidenciando os atritos técnicos dessa tradução.","Escassez de respostas interdisciplinares às ameaças sociotécnicas do uso de dados pessoais, destacando que abordagens estáticas (como EULAs e políticas textuais) são insuficientes para empoderar a Autonomia do Usuário de forma contínua.","A área restringia-se ao design de interface clássico (IHC) e à Experiência do Usuário (UX) básica, abordagens que se provaram cronicamente insuficientes para gerenciar a escala informacional e a opacidade da datificação massiva contemporânea.",NÃO RESPONDE,,Descreve o uso de walkthroughs (inspeção) com especialistas sob o protocolo think-aloud (pensar em voz alta) como método formativo. Anuncia estudos experimentais futuros através de um teste (trial) de 10 dias com usuários.,"Emprega estratégias de legibilidade (linguagem simplificada, fluxogramas, ícones e páginas de permissões resumidas) pensadas para tornar a governança de dados compreensível e inclusiva para o público leigo.","esta diretamente o CMP (um framework operacional de IHD). É um caso concreto de avaliação formativa de um sistema real, operacionalizando os pilares de legibilidade, negociabilidade e Autonomia do Usuário.","Identifica que a própria noção de legibilidade da IHD é restrita ao contexto legal e cultural do Reino Unido. Os autores admitem que mandatos legais e nuances linguísticas variam por país, afetando diretamente a eficácia dos princípios de IHD."
88,"Xiao, 2021",Evolui da busca restrita por usabilidade técnica para a investigação sociológica dos processos de construção de sentido (sensemaking). Reconhece que o dado exige enquadramento sociotécnico estruturado para transmitir significado real ao humano.,"Teoricamente, o reúso de dados é estimulado como um bem comum por diretrizes globais. Na prática, é um processo árduo que demanda alto Letramento em Dados, exigindo que o indivíduo reconstrua manualmente o contexto sociotécnico da coleta original para compreender sua real representatividade.","Lacuna crônica de pesquisas dedicadas a entender os comportamentos cognitivos envolvidos no sensemaking (construção de sentido) focado primariamente em fluxos de dados, em forte contraste com os vastos estudos sobre sentido extraído de textos.","As políticas de publicação focavam unicamente na resolução de problemas operacionais locais, na legibilidade pelas máquinas e na interoperabilidade técnica de sistemas, negligenciando a cognição humana e as necessidades de construção de sentido.","Enquadra o compartilhamento de conjuntos de dados entre pares como um pilar de sobrevivência face às grandes crises sociourbanas contemporâneas, enfatizando que a resiliência civil depende diretamente do Letramento em Dados da população.",,"Utiliza uma sólida combinação de entrevistas em profundidade, tarefas de pensar em voz alta (think-aloud) e análise meticulosa de gravação de tela (screen recording) para mapear interações físicas e cognitivas no momento de uso.","Recomenda o uso de ""coisas estranhas"" (erros ou outliers) como pontos de entrada positivos para a exploração, além do uso de navegação por níveis (zoom em colunas vs. conjunto completo).","Cria e testa um framework próprio baseado em três clusters operacionais: Inspecionar, Engajar com Conteúdo e Colocar em Contexto, voltado ao fluxo de construção de sentido.","Destaca que o sentido extraído de um dado é sempre influenciado por normas disciplinares e pelo contexto social de coleta, reconhecendo que o conhecimento necessário para a interpretação é frequentemente tácito e culturalmente dependente."
